Timestamp,Name,Value
0.738409,"NT:/FMSInfo/.type","FMSInfo"
0.738743,"NT:/FMSInfo/GameSpecificMessage",""
0.73891,"NT:/FMSInfo/EventName",""
0.755846,"NT:/FMSInfo/MatchNumber",0
0.756236,"NT:/FMSInfo/ReplayNumber",0
0.756421,"NT:/FMSInfo/MatchType",0
0.77345,"NT:/FMSInfo/IsRedAlliance",true
0.790275,"NT:/FMSInfo/StationNumber",3
0.773932,"NT:/FMSInfo/FMSControlData",0
0.872025,"NT:/LiveWindow/.status/LW Enabled",false
1.192996,"NT:/Shuffleboard/.metadata/Tabs","Electric Eagles;Autonomous;Logs;Config"
1.193533,"NT:/Shuffleboard/Electric Eagles/.type","ShuffleboardTab"
1.193904,"NT:/Shuffleboard/Autonomous/.type","ShuffleboardTab"
1.194164,"NT:/Shuffleboard/Logs/.type","ShuffleboardTab"
1.194405,"NT:/Shuffleboard/Config/.type","ShuffleboardTab"
1.562512,"NT:/Shuffleboard/.metadata/Config/Save Config/PreferredComponent","Toggle Button"
3.938433,"NT:/Shuffleboard/Config/Save Config",false
1.581766,"NT:/Shuffleboard/.metadata/Electric Eagles/Sees AprilTag/PreferredComponent","Boolean Box"
1.582082,"NT:/Shuffleboard/.metadata/Electric Eagles/Sees AprilTag/Size",1;1
1.582175,"NT:/Shuffleboard/.metadata/Electric Eagles/Sees AprilTag/Position",5;3
3.938507,"NT:/Shuffleboard/Electric Eagles/Sees AprilTag",false
1.592247,"NT:/Shuffleboard/.metadata/Electric Eagles/Sees AprilTag/Properties/Color when false","#800000"
1.592433,"NT:/Shuffleboard/.metadata/Electric Eagles/Sees AprilTag/Properties/Color when true","#ffbf00"
1.594288,"NT:/Shuffleboard/Electric Eagles/Drive System","DRIVE_MANUAL"
3.012992,"NT:/Shuffleboard/.metadata/Electric Eagles/X Position/PreferredComponent","Text View"
3.013066,"NT:/Shuffleboard/.metadata/Electric Eagles/X Position/Size",1;1
3.013103,"NT:/Shuffleboard/.metadata/Electric Eagles/X Position/Position",5;0
3.938581,"NT:/Shuffleboard/Electric Eagles/X Position",-1
3.014235,"NT:/Shuffleboard/.metadata/Electric Eagles/Y Position/PreferredComponent","Text View"
3.014383,"NT:/Shuffleboard/.metadata/Electric Eagles/Y Position/Size",1;1
3.014439,"NT:/Shuffleboard/.metadata/Electric Eagles/Y Position/Position",6;0
3.938637,"NT:/Shuffleboard/Electric Eagles/Y Position",-1
3.016386,"NT:/Shuffleboard/.metadata/Electric Eagles/Theta/PreferredComponent","Text View"
3.016535,"NT:/Shuffleboard/.metadata/Electric Eagles/Theta/Size",1;1
3.016609,"NT:/Shuffleboard/.metadata/Electric Eagles/Theta/Position",7;0
3.938674,"NT:/Shuffleboard/Electric Eagles/Theta",-1
3.018241,"NT:/Shuffleboard/.metadata/Electric Eagles/X Speed/PreferredComponent","Number Bar"
3.018316,"NT:/Shuffleboard/.metadata/Electric Eagles/X Speed/Size",1;1
3.018371,"NT:/Shuffleboard/.metadata/Electric Eagles/X Speed/Position",6;3
3.938711,"NT:/Shuffleboard/Electric Eagles/X Speed",-1
3.018779,"NT:/Shuffleboard/.metadata/Electric Eagles/X Speed/Properties/Min",0
3.018909,"NT:/Shuffleboard/.metadata/Electric Eagles/X Speed/Properties/Max",4.5
3.020189,"NT:/Shuffleboard/.metadata/Electric Eagles/Y Speed/PreferredComponent","Number Bar"
3.020245,"NT:/Shuffleboard/.metadata/Electric Eagles/Y Speed/Size",1;1
3.0203,"NT:/Shuffleboard/.metadata/Electric Eagles/Y Speed/Position",7;3
3.938785,"NT:/Shuffleboard/Electric Eagles/Y Speed",-1
3.020523,"NT:/Shuffleboard/.metadata/Electric Eagles/Y Speed/Properties/Min",0
3.020746,"NT:/Shuffleboard/.metadata/Electric Eagles/Y Speed/Properties/Max",4.5
3.133808,"NT:/Shuffleboard/.metadata/Electric Eagles/Overall Velocity/PreferredComponent","Simple Dial"
3.133919,"NT:/Shuffleboard/.metadata/Electric Eagles/Overall Velocity/Size",1;1
3.133993,"NT:/Shuffleboard/.metadata/Electric Eagles/Overall Velocity/Position",8;0
3.938841,"NT:/Shuffleboard/Electric Eagles/Overall Velocity",-1
3.134179,"NT:/Shuffleboard/.metadata/Electric Eagles/Overall Velocity/Properties/Min",0
3.13429,"NT:/Shuffleboard/.metadata/Electric Eagles/Overall Velocity/Properties/Max",4.5
3.134568,"NT:/Shuffleboard/.metadata/Electric Eagles/Field/Size",3;2
3.134661,"NT:/Shuffleboard/.metadata/Electric Eagles/Field/Position",5;1
3.172206,"NT:/Shuffleboard/Electric Eagles/Field/.controllable",true
3.144734,"NT:/Shuffleboard/Electric Eagles/Field/.type","Field2d"
