Timestamp,Name,Value
0.84063,"NT:/FMSInfo/.type","FMSInfo"
0.842819,"NT:/FMSInfo/GameSpecificMessage",""
0.843004,"NT:/FMSInfo/EventName",""
0.860979,"NT:/FMSInfo/MatchNumber",0
0.86122,"NT:/FMSInfo/ReplayNumber",0
0.861387,"NT:/FMSInfo/MatchType",0
0.879808,"NT:/FMSInfo/IsRedAlliance",true
0.900175,"NT:/FMSInfo/StationNumber",3
0.880253,"NT:/FMSInfo/FMSControlData",0
1.040469,"NT:/LiveWindow/.status/LW Enabled",false
1.397445,"NT:/Shuffleboard/.metadata/Tabs","Electric Eagles;Autonomous;Config"
1.398762,"NT:/Shuffleboard/Electric Eagles/.type","ShuffleboardTab"
1.399133,"NT:/Shuffleboard/Autonomous/.type","ShuffleboardTab"
1.399393,"NT:/Shuffleboard/Config/.type","ShuffleboardTab"
1.801279,"NT:/Shuffleboard/.metadata/Config/Save Config/PreferredComponent","Toggle Button"
4.449662,"NT:/Shuffleboard/Config/Save Config",false
1.821721,"NT:/Shuffleboard/.metadata/Electric Eagles/Sees AprilTag/PreferredComponent","Boolean Box"
1.822444,"NT:/Shuffleboard/.metadata/Electric Eagles/Sees AprilTag/Size",1;1
1.822611,"NT:/Shuffleboard/.metadata/Electric Eagles/Sees AprilTag/Position",5;3
4.449699,"NT:/Shuffleboard/Electric Eagles/Sees AprilTag",false
1.831831,"NT:/Shuffleboard/.metadata/Electric Eagles/Sees AprilTag/Properties/Color when false","#800000"
1.832146,"NT:/Shuffleboard/.metadata/Electric Eagles/Sees AprilTag/Properties/Color when true","#ffbf00"
1.833649,"NT:/Shuffleboard/Electric Eagles/Drive System","DRIVE_MANUAL"
3.459129,"NT:/Shuffleboard/.metadata/Electric Eagles/X Position/PreferredComponent","Text View"
3.459204,"NT:/Shuffleboard/.metadata/Electric Eagles/X Position/Size",1;1
3.459241,"NT:/Shuffleboard/.metadata/Electric Eagles/X Position/Position",5;0
4.449792,"NT:/Shuffleboard/Electric Eagles/X Position",-1
3.460335,"NT:/Shuffleboard/.metadata/Electric Eagles/Y Position/PreferredComponent","Text View"
3.460391,"NT:/Shuffleboard/.metadata/Electric Eagles/Y Position/Size",1;1
3.460446,"NT:/Shuffleboard/.metadata/Electric Eagles/Y Position/Position",6;0
4.449829,"NT:/Shuffleboard/Electric Eagles/Y Position",-1
3.461652,"NT:/Shuffleboard/.metadata/Electric Eagles/Theta/PreferredComponent","Text View"
3.461726,"NT:/Shuffleboard/.metadata/Electric Eagles/Theta/Size",1;1
3.461782,"NT:/Shuffleboard/.metadata/Electric Eagles/Theta/Position",7;0
4.449866,"NT:/Shuffleboard/Electric Eagles/Theta",-1
3.462932,"NT:/Shuffleboard/.metadata/Electric Eagles/X Speed/PreferredComponent","Number Bar"
3.463062,"NT:/Shuffleboard/.metadata/Electric Eagles/X Speed/Size",1;1
3.463173,"NT:/Shuffleboard/.metadata/Electric Eagles/X Speed/Position",6;3
4.449903,"NT:/Shuffleboard/Electric Eagles/X Speed",-1
3.463619,"NT:/Shuffleboard/.metadata/Electric Eagles/X Speed/Properties/Min",0
3.463785,"NT:/Shuffleboard/.metadata/Electric Eagles/X Speed/Properties/Max",4.5
3.465103,"NT:/Shuffleboard/.metadata/Electric Eagles/Y Speed/PreferredComponent","Number Bar"
3.465177,"NT:/Shuffleboard/.metadata/Electric Eagles/Y Speed/Size",1;1
3.465214,"NT:/Shuffleboard/.metadata/Electric Eagles/Y Speed/Position",7;3
4.449996,"NT:/Shuffleboard/Electric Eagles/Y Speed",-1
3.465418,"NT:/Shuffleboard/.metadata/Electric Eagles/Y Speed/Properties/Min",0
3.465511,"NT:/Shuffleboard/.metadata/Electric Eagles/Y Speed/Properties/Max",4.5
3.570207,"NT:/Shuffleboard/.metadata/Electric Eagles/Overall Velocity/PreferredComponent","Simple Dial"
3.5703,"NT:/Shuffleboard/.metadata/Electric Eagles/Overall Velocity/Size",1;1
3.570355,"NT:/Shuffleboard/.metadata/Electric Eagles/Overall Velocity/Position",8;0
4.450052,"NT:/Shuffleboard/Electric Eagles/Overall Velocity",-1
3.570522,"NT:/Shuffleboard/.metadata/Electric Eagles/Overall Velocity/Properties/Min",0
3.570615,"NT:/Shuffleboard/.metadata/Electric Eagles/Overall Velocity/Properties/Max",4.5
3.570875,"NT:/Shuffleboard/.metadata/Electric Eagles/Field/Size",3;2
3.571264,"NT:/Shuffleboard/.metadata/Electric Eagles/Field/Position",5;1
3.593988,"NT:/Shuffleboard/Electric Eagles/Field/.controllable",true
3.57631,"NT:/Shuffleboard/Electric Eagles/Field/.type","Field2d"
4.450126,"NT:/Shuffleboard/Electric Eagles/Field/Robot",0;0;0
3.595936,"NT:/Shuffleboard/Electric Eagles/Scollector","IDLE"
3.788911,"NT:/Shuffleboard/.metadata/Electric Eagles/Top Velocity/PreferredComponent","Number Bar"
3.789004,"NT:/Shuffleboard/.metadata/Electric Eagles/Top Velocity/Size",1;1
3.789078,"NT:/Shuffleboard/.metadata/Electric Eagles/Top Velocity/Position",4;2
4.450182,"NT:/Shuffleboard/Electric Eagles/Top Velocity",0
